Scale data from file: \jk\Wammi\_w515\download\enamul_haque\enr117wf.txt
Button,Language,Date,Domain,A,C,E,H,L,G,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
r117wf,WAMMI EN 2.5AC,07-22-2020,96.55.246.175, 19 , 27 , 47 , 34 , 15 , 28 ,"N&sol;A","3","3","the interface is simple and clear","it misses categories for professors in different areas","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,07-22-2020,99.251.20.190, 24 , 32 , 51 , 46 , 52 , 41 ,"x586li@uwaterloo.ca Useful: put categories all together at the top.","2","1","Clean and neat, use limited colors. I personally think it's good for academic websites.","No","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,07-23-2020,72.140.76.233, 24 , 55 , 23 , 23 , 22 , 29 ,"I was mostly just focused on the task","4","1","It looks nice","A lot of the useful links are at the bottom","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,07-26-2020,99.228.55.160, 94 , 94 , 100 , 92 , 58 , 87 ,"w27han@uwaterloo.ca","1","1","This website is informative, and it contains huge amount of information about every aspect of the university.","I finished the first task by using the department glossary. I believe there should be some shortcuts to get there.","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,07-27-2020,59.153.103.41, 73 , 87 , 72 , 83 , 85 , 80 ,"Everything was just a few clicks away. Just go to the top navbar choose what you want and after a few clicks it is there.","2","1","The graphical interface is quiet beautiful and matches the theme of the university.","There is nothing missing. I noticed some pop up modals was bigger than they should be. The covers the main content of the page.","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,07-27-2020,59.153.103.41, 73 , 87 , 72 , 83 , 85 , 80 ,"samiulalam555@gmail.com Everything was just a few clicks away. Just go to the top navbar choose what you want and after a few clicks it is there.","2","1","The graphical interface is quiet beautiful and matches the theme of the university.","There is nothing missing. I noticed some pop up modals was bigger than they should be. The covers the main content of the page.","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,07-30-2020,129.97.125.4, 57 , 41 , 67 , 37 , 11 , 42 ,"User Interface","1","1","attractive UI","Navigating to the department website can be easier","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,07-30-2020,182.48.73.186, 42 , 67 , 49 , 65 , 62 , 57 ,"josen221@gmail.com Department has separate page for all faculty member and list has a coloum of field of interest.","4","1","Well decorated and easy to navigate.","Did not find any.","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,07-31-2020,103.217.111.221, 80 , 54 , 88 , 88 , 40 , 70 ,"mdaq78@gmail.com Their website has a section for finding the faculty profile of different research areas easily.","2","1","Well organized. I can find what I need easily.","No","","","","","","","","","","","","","",
r117wf,WAMMI EN 2.5AC,07-31-2020,103.202.223.225, 4 , 14 , 47 , 28 , 29 , 24 ,"nothing","2","1","not that much","not sure","","","","","","","","","","","","","",
